"sample","n_with_gene","driver_genes"
"PD36813y6",0,NA
"PD36813y7",1,"KRAS"
"PD36813z15",0,NA
"PD36813z4",1,"FAT4"
"PD36813z5",0,NA
"PD36813z6",0,NA
"PD36813z7",1,"BRAF"
"PD36813z8",0,NA
"PD36814b2",0,NA
"PD36814b7",0,NA
"PD36814c2",1,"ATM"
"PD36814c3",0,NA
"PD36814c4",0,NA
"PD36814d5",0,NA
"PD36814d6",0,NA
"PD36814d7",0,NA
"PD36814d8",0,NA
"PD36814e5",0,NA
"PD36814e6",0,NA
"PD36814e7",1,"TCF7L2"
"PD36814e8",0,NA
"PD36814f4",1,"TCF7L2"
"PD36814f8",0,NA
"PD36814g4",0,NA
"PD36814g7",0,NA
"PD36814g8",1,"BRAF"
"PD36814h2",0,NA
"PD36814h4",1,"BRAF"
"PD36814i",0,NA
"PD36814i3",0,NA
"PD36814i4",0,NA
"PD36814k2",0,NA
"PD36814k6",0,NA
"PD36814k7",0,NA
"PD36814k8",1,"FAT4"
"PD36814l2",2,"TCF7L2;ATM"
"PD36814l4",1,"FAT4"
"PD36814l7",0,NA
"PD36814l8",1,"TP53"
"PD36814m5",0,NA
"PD36814m8",0,NA
"PD37226b5",2,"FAT4;FBXW7"
"PD37226b6",0,NA
"PD37226c5",0,NA
"PD37226c6",0,NA
"PD37226c7",0,NA
"PD37226c8",0,NA
"PD37226d4",0,NA
"PD37226d5",0,NA
"PD37226d6",0,NA
"PD37226e4",0,NA
"PD37226e5",0,NA
"PD37226f5",0,NA
"PD37226f6",0,NA
"PD37226f7",2,"APC;TP53"
"PD37226g5",0,NA
"PD37226g6",1,"TCF7L2"
"PD37226g7",0,NA
"PD37226h4",0,NA
"PD37226h7",0,NA
"PD37226h8",0,NA
"PD37226i5",0,NA
"PD37226i6",0,NA
"PD37226i7",0,NA
"PD37226i8",0,NA
"PD37226j4",0,NA
"PD37226j5",1,"ATM"
"PD37226j6",0,NA
"PD37226j7",0,NA
"PD37226j8",0,NA
"PD37226k2",0,NA
"PD37226k5",0,NA
"PD37226k6",0,NA
"PD37226k8",0,NA
"PD37226l5",0,NA
"PD37226l6",0,NA
"PD37226l7",0,NA
"PD37226l8",1,"FAT4"
"PD37226m5",0,NA
"PD37226m7",1,"BRAF"
"PD37226m8",0,NA
"PD37226o4",1,"ATM"
"PD37226o5",0,NA
"PD37226p7",1,"FAT4"
"PD37265b",1,"FBXW7"
"PD37265b7",0,NA
"PD37265c2",0,NA
"PD37265c3",0,NA
"PD37265c5",1,"TCF7L2"
"PD37265d",0,NA
"PD37265d5",0,NA
"PD37265d8",0,NA
"PD37265e",0,NA
"PD37265e5",0,NA
"PD37265f",0,NA
"PD37265f2",0,NA
"PD37265f4",0,NA
"PD37265g6",0,NA
"PD37265g7",1,"TP53"
"PD37265g8",0,NA
"PD37265h5",0,NA
"PD37265h6",0,NA
"PD37265h8",0,NA
"PD37265i2",0,NA
"PD37265i7",1,"FBXW7"
"PD37265k",0,NA
"PD37265k2",0,NA
"PD37265k3",0,NA
"PD37265l2",0,NA
"PD37265l6",0,NA
"PD37265m3",1,"TCF7L2"
"PD37265m4",1,"APC"
"PD37266b_lo0004",0,NA
"PD37266b_lo0005",0,NA
"PD37266b_lo0006",0,NA
"PD37266b_lo0007",2,"FAT4;ATM"
"PD37266b_lo0008",0,NA
"PD37266b_lo0017",1,"FAT4"
"PD37266b_lo0023",0,NA
"PD37266c_lo0010",0,NA
"PD37266c_lo0012",0,NA
"PD37266c_lo0014",0,NA
"PD37266c_lo0016",0,NA
"PD37266c_lo0018",0,NA
"PD37266c_lo0023",0,NA
"PD37266d_lo0002",0,NA
"PD37266d_lo0010",0,NA
"PD37266d_lo0012",0,NA
"PD37266d_lo0014",0,NA
"PD37266e_lo0008",0,NA
"PD37266e_lo0010",0,NA
"PD37449c_lo0001",1,"BRAF"
"PD37449c_lo0009",2,"FAT4;TCF7L2"
"PD37449c_lo0014",0,NA
"PD37449c_lo0017",0,NA
"PD37449d_lo0001",0,NA
"PD37449d_lo0002",0,NA
"PD37449d_lo0003",0,NA
"PD37449d_lo0006",0,NA
"PD37449d_lo0011",0,NA
"PD37449d_lo0012",0,NA
"PD37449d_lo0017",1,"FAT4"
"PD37449e_lo0001",0,NA
"PD37449e_lo0002",1,"FBXW7"
"PD37449e_lo0003",0,NA
"PD37449e_lo0004",0,NA
"PD37449e_lo0006",0,NA
"PD37449e_lo0008",1,"PIK3CA"
"PD37449e_lo0010",0,NA
"PD37449e_lo0014",0,NA
"PD37449e_lo0015",0,NA
"PD37449f_lo0002",0,NA
"PD37449f_lo0006",0,NA
"PD37449f_lo0008",0,NA
"PD37449f_lo0010",0,NA
"PD37449f_lo0011",0,NA
"PD37449f_lo0016",0,NA
"PD37449f_lo0017",0,NA
"PD37449f_lo0019",0,NA
"PD37449f_lo0022",0,NA
"PD37449f_lo0023",0,NA
"PD37457b4",0,NA
"PD37457c4",0,NA
"PD37457e6",0,NA
"PD37457f4",1,"FAT4"
"PD37457f7",1,"FAT4"
"PD37457g5",0,NA
"PD37457h2",0,NA
"PD37457h5",0,NA
"PD37457i4",0,NA
"PD37457i5",0,NA
"PD37457j7",0,NA
"PD37457j8",0,NA
"PD37509b8",0,NA
"PD37509b9",0,NA
"PD37510b4",0,NA
"PD37510b7",0,NA
"PD37510b8",0,NA
"PD37512a11",0,NA
"PD37512a4",1,"FAT4"
"PD37512a5",0,NA
"PD37512b7",0,NA
"PD37513a13",0,NA
"PD37513a2",0,NA
"PD37513a20",0,NA
"PD37513a21",0,NA
"PD37513a3",0,NA
"PD37513b5",0,NA
"PD37513b7",0,NA
"PD37513b8",0,NA
"PD37514a",0,NA
"PD37514a2",1,"ATM"
"PD37514a3",0,NA
"PD37514b3",0,NA
"PD37514b7",0,NA
"PD37514b8",0,NA
"PD37590b_lo0010",1,"ATM"
"PD37590b_lo0015",1,"FAT4"
"PD37590b_lo0018",0,NA
"PD37590b_lo0030",2,"FAT4;TCF7L2"
"PD37590b_lo0033",0,NA
"PD37590b_lo0041",0,NA
"PD37590b_lo0051",0,NA
"PD37590b_lo0052",2,"BRAF;KRAS"
"PD37590b_lo0053",0,NA
"PD37590b_lo0058",0,NA
"PD37590b_lo0074",0,NA
"PD37590b_lo0075",0,NA
"PD37590b_lo0090",0,NA
"PD37590b_lo0092",0,NA
"PD37590b_lo0107",0,NA
"PD37590b_lo0116",0,NA
"PD37590b_lo0117",0,NA
"PD37590c_lo0001",0,NA
"PD37590c_lo0005",0,NA
"PD37590c_lo0009",0,NA
"PD37590c_lo0019",0,NA
"PD37590c_lo0021",0,NA
"PD37590c_lo0025",0,NA
"PD37590c_lo0032",0,NA
"PD37590c_lo0034",0,NA
"PD37590c_lo0040",0,NA
"PD37590c_lo0048",0,NA
"PD37590d_lo0012",0,NA
